"MF_rel","DBF_rel","DNF_rel","EBF_rel","ENF_rel","lat"
NA,NA,NA,NA,NA,-59.9791666616688
NA,NA,NA,NA,NA,-59.9374999950062
NA,NA,NA,NA,NA,-59.8749999950125
NA,NA,NA,NA,NA,-59.8124999950188
NA,NA,NA,NA,NA,-59.7708333283562
NA,NA,NA,NA,NA,-59.7291666616937
NA,NA,NA,NA,NA,-59.6874999950312
NA,NA,NA,NA,NA,-59.6249999950375
NA,NA,NA,NA,NA,-59.5624999950437
NA,NA,NA,NA,NA,-59.5208333283812
NA,NA,NA,NA,NA,-59.4791666617188
NA,NA,NA,NA,NA,-59.4374999950562
NA,NA,NA,NA,NA,-59.3749999950625
NA,NA,NA,NA,NA,-59.3124999950687
NA,NA,NA,NA,NA,-59.2708333284062
NA,NA,NA,NA,NA,-59.2291666617437
NA,NA,NA,NA,NA,-59.1874999950813
NA,NA,NA,NA,NA,-59.1249999950875
NA,NA,NA,NA,NA,-59.0624999950937
NA,NA,NA,NA,NA,-59.0208333284313
NA,NA,NA,NA,NA,-58.9791666617687
NA,NA,NA,NA,NA,-58.9374999951062
NA,NA,NA,NA,NA,-58.8749999951125
NA,NA,NA,NA,NA,-58.8124999951187
NA,NA,NA,NA,NA,-58.7708333284562
NA,NA,NA,NA,NA,-58.7291666617938
NA,NA,NA,NA,NA,-58.6874999951312
NA,NA,NA,NA,NA,-58.6249999951375
NA,NA,NA,NA,NA,-58.5624999951438
NA,NA,NA,NA,NA,-58.5208333284812
NA,NA,NA,NA,NA,-58.4791666618187
NA,NA,NA,NA,NA,-58.4374999951562
NA,NA,NA,NA,NA,-58.3749999951625
NA,NA,NA,NA,NA,-58.3124999951687
NA,NA,NA,NA,NA,-58.2708333285063
NA,NA,NA,NA,NA,-58.2291666618437
NA,NA,NA,NA,NA,-58.1874999951812
NA,NA,NA,NA,NA,-58.1249999951875
NA,NA,NA,NA,NA,-58.0624999951937
NA,NA,NA,NA,NA,-58.0208333285312
NA,NA,NA,NA,NA,-57.9791666618687
NA,NA,NA,NA,NA,-57.9374999952062
NA,NA,NA,NA,NA,-57.8749999952125
NA,NA,NA,NA,NA,-57.8124999952187
NA,NA,NA,NA,NA,-57.7708333285562
NA,NA,NA,NA,NA,-57.7291666618937
NA,NA,NA,NA,NA,-57.6874999952312
NA,NA,NA,NA,NA,-57.6249999952375
NA,NA,NA,NA,NA,-57.5624999952437
NA,NA,NA,NA,NA,-57.5208333285812
NA,NA,NA,NA,NA,-57.4791666619187
NA,NA,NA,NA,NA,-57.4374999952562
NA,NA,NA,NA,NA,-57.3749999952625
NA,NA,NA,NA,NA,-57.3124999952687
NA,NA,NA,NA,NA,-57.2708333286062
NA,NA,NA,NA,NA,-57.2291666619437
NA,NA,NA,NA,NA,-57.1874999952812
NA,NA,NA,NA,NA,-57.1249999952875
NA,NA,NA,NA,NA,-57.0624999952937
NA,NA,NA,NA,NA,-57.0208333286312
NA,NA,NA,NA,NA,-56.9791666619687
NA,NA,NA,NA,NA,-56.9374999953062
NA,NA,NA,NA,NA,-56.8749999953125
NA,NA,NA,NA,NA,-56.8124999953187
NA,NA,NA,NA,NA,-56.7708333286562
NA,NA,NA,NA,NA,-56.7291666619937
NA,NA,NA,NA,NA,-56.6874999953312
NA,NA,NA,NA,NA,-56.6249999953375
NA,NA,NA,NA,NA,-56.5624999953437
NA,NA,NA,NA,NA,-56.5208333286812
NA,NA,NA,NA,NA,-56.4791666620187
NA,NA,NA,NA,NA,-56.4374999953562
NA,NA,NA,NA,NA,-56.3749999953625
NA,NA,NA,NA,NA,-56.3124999953687
NA,NA,NA,NA,NA,-56.2708333287062
NA,NA,NA,NA,NA,-56.2291666620437
NA,NA,NA,NA,NA,-56.1874999953812
NA,NA,NA,NA,NA,-56.1249999953875
NA,NA,NA,NA,NA,-56.0624999953937
NA,NA,NA,NA,NA,-56.0208333287312
NA,NA,NA,NA,NA,-55.9791666620687
NA,NA,NA,NA,NA,-55.9374999954062
0.061536309705775,0.316681375363403,0,0.09077157004457,0.531010744886252,-55.8749999954125
0.0272310908599379,0.0512001228481131,0,0.0381235262949774,0.883445259996972,-55.8124999954187
0.0587492624920276,0.26736916355185,0,0.0459720217533284,0.627909552202794,-55.7708333287562
0.0476935559548504,0.221496555675283,0,0.0318949621610043,0.698914926208862,-55.7291666620937
0.0473547181264786,0.294379147028301,0,0.0410408272011291,0.617225307644091,-55.6874999954312
0.0261808948889904,0.170898618480976,0,0.075762606084741,0.727157880545293,-55.6249999954375
0.0234265339827562,0.0735474319677202,0,0.0469811124499664,0.856044921599557,-55.5624999954437
0.07437967521442,0.0415380048161325,0,0.0108557007553313,0.873226619214116,-55.5208333287812
0.167627453048637,0.0256234128055142,0,0.0144601510774709,0.792288983068378,-55.4791666621187
0.200946355806461,0.0834320386712647,0,0.0249146530925868,0.690706952429688,-55.4374999954562
0.185696336904641,0.105004137563141,0,0.00578908767916721,0.703510437853051,-55.3749999954625
0.206621006453689,0.048518744329587,0,0.0835242860875751,0.661335963129149,-55.3124999954687
0.20119306888249,0.0400191767853676,0,0.0327704617780404,0.726017292554102,-55.2708333288062
0.112541537253063,0.0544355078951797,0,0.0187267601810619,0.814296194670696,-55.2291666621437
0.218710443526442,0.108200541786944,0,0.0220825883784786,0.651006426308136,-55.1874999954812
0.376925927114246,0.0667284345288931,0,0.00682761428898493,0.549518024067876,-55.1249999954875
0.295103676043794,0.115075488999788,0,0.0063308765613712,0.583489958395046,-55.0624999954937
0.183356965538187,0.141742421396661,0,0.0237998767535317,0.65110073631162,-55.0208333288312
0.19118396671641,0.222389984665522,0,0.0356575324667463,0.550768516151321,-54.9791666621687
0.305143215221343,0.170054512116282,0,0.0213518137984341,0.503450458863941,-54.9374999955062
0.348197702829606,0.18049301275317,0.000425243582909349,0.0206609635954352,0.45022307723888,-54.8749999955125
0.194763462510386,0.327491732348379,0.00439774569219275,0.00292238303130572,0.470424676417736,-54.8124999955187
0.167468839766967,0.348742347677893,0,0.00822327745554787,0.475565535099593,-54.7708333288562
0.153493064926465,0.384268978209625,0.00144018106368899,0.0151123979158886,0.445685377884332,-54.7291666621937
0.175001729199356,0.479696550466462,0,0.00395174375684535,0.341349976577337,-54.6874999955312
0.11230343486676,0.651927121123138,0,0.000543946726965773,0.235225497283137,-54.6249999955375
0.323195779374568,0.397053956347948,0,0.00570288401578699,0.274047380261697,-54.5624999955437
0.340135572708658,0.494981872605068,0,0.00547700525027311,0.159405549436001,-54.5208333288812
0.158942721215477,0.62156020447409,0,0.00653881953399006,0.212958254776443,-54.4791666622187
0.207971380051423,0.539993956008827,0,0.00533813179491042,0.24669653214484,-54.4374999955562
0.223538674038167,0.519284276844513,0.00232599923195057,0.000632773477061733,0.254218276408307,-54.3749999955625
0.235398864961514,0.50058330041022,0,0.00209614984720697,0.261921684781059,-54.3124999955687
0.219814806090754,0.457582096516149,0,0,0.322603097393097,-54.2708333289062
0.254918115651274,0.390775929152723,0,0.000976549687910499,0.353329405508092,-54.2291666622437
0.278917096215557,0.34336677461818,0.00115100986046368,0.00737730352675229,0.369187815779048,-54.1874999955812
0.301044319100993,0.303305753254126,0.000833663779789072,0.00786728882647171,0.38694897503862,-54.1249999955875
